subject,exp_type,experiment,scs
R1446T,intracranial,FR1,0.5074074074074074
R1447M,intracranial,FR1,0.3752425044091711
R1448T,intracranial,FR1,0.5772222222222222
R1449T,intracranial,FR1,0.5298592739564962
R1454M,intracranial,FR1,0.4900496031746032
R1457T,intracranial,FR1,0.3507936507936508
R1459M,intracranial,FR1,0.4833624338624339
R1460M,intracranial,FR1,0.3209876543209877
R1462M,intracranial,FR1,0.5473425925925925
R1463E,intracranial,FR1,0.572129977722083
R1466J,intracranial,FR1,0.5222908793146889
R1467M,intracranial,FR1,0.6089860338074623
R1542J,intracranial,FR1,0.5167088909116072
R1565T,intracranial,FR1,0.6992283950617284
R1569T,intracranial,FR1,0.5858134920634921
R1571T,intracranial,FR1,0.48236882716049384
R1572T,intracranial,FR1,0.6551917989417989
R1573T,intracranial,FR1,0.5757142857142857
R1030J,intracranial,IFR1,0.5335255456349206
R1686S,intracranial,IFR1,0.5693019480519481
R1710J,intracranial,IFR1,0.5021843915343915
R1720S,intracranial,IFR1,0.4222222222222222
R1721J,intracranial,IFR1,0.5347851263962375
R1724J,intracranial,IFR1,0.49923581191735955
R1725J,intracranial,IFR1,0.4874600529100529
R1729J,intracranial,IFR1,0.47592940287226
R1730A,intracranial,IFR1,0.5448060443984357
R1733A,intracranial,IFR1,0.5211111111111111
R1739A,intracranial,IFR1,0.5464846881513548
R1740H,intracranial,IFR1,0.5517555366591081
R1741A,intracranial,IFR1,0.5168223544973545
R1742J,intracranial,IFR1,0.45200993676603435
R1743H,intracranial,IFR1,0.5646560846560846
R1744A,intracranial,IFR1,0.4732060185185185
R1745H,intracranial,IFR1,0.4662670068027211
R1746A,intracranial,IFR1,0.486265589569161
R1747A,intracranial,IFR1,0.5245185574229692
R1749A,intracranial,IFR1,0.4855050196716863
R1752A,intracranial,IFR1,0.5002176240866717
LTP093,scalp,ltpFR2,0.5143162324871053
LTP106,scalp,ltpFR2,0.5447325382436992
LTP115,scalp,ltpFR2,0.5456412431779999
LTP117,scalp,ltpFR2,0.5389166583756203
LTP122,scalp,ltpFR2,0.5487027827135788
LTP123,scalp,ltpFR2,0.5627053462394564
LTP133,scalp,ltpFR2,0.529882004648178
LTP138,scalp,ltpFR2,0.5586201921076497
LTP187,scalp,ltpFR2,0.5130433966948816
LTP207,scalp,ltpFR2,0.5180814606836804
LTP210,scalp,ltpFR2,0.5635906432092338
LTP228,scalp,ltpFR2,0.5071569755409755
LTP229,scalp,ltpFR2,0.5501921107583623
LTP236,scalp,ltpFR2,0.5561633835476549
LTP242,scalp,ltpFR2,0.5686267681477045
LTP246,scalp,ltpFR2,0.512608278351052
LTP249,scalp,ltpFR2,0.529501413788343
LTP250,scalp,ltpFR2,0.5514853019153118
LTP251,scalp,ltpFR2,0.5464112589732938
LTP258,scalp,ltpFR2,0.5584683384588178
LTP259,scalp,ltpFR2,0.525938105820226
LTP260,scalp,ltpFR2,0.5606483875013055
LTP265,scalp,ltpFR2,0.5340832969584107
LTP269,scalp,ltpFR2,0.5390422372895397
LTP273,scalp,ltpFR2,0.5165592040755771
LTP274,scalp,ltpFR2,0.552806820487443
LTP278,scalp,ltpFR2,0.5133395652490539
LTP279,scalp,ltpFR2,0.5179691315952448
LTP280,scalp,ltpFR2,0.5337876432566646
LTP281,scalp,ltpFR2,0.525963205675805
LTP283,scalp,ltpFR2,0.5426475747590577
LTP285,scalp,ltpFR2,0.5482824468489866
LTP287,scalp,ltpFR2,0.5247935333998717
LTP290,scalp,ltpFR2,0.5130742008970058
LTP293,scalp,ltpFR2,0.553469629207093
LTP295,scalp,ltpFR2,0.5407247321057489
LTP296,scalp,ltpFR2,0.5468697346489494
LTP297,scalp,ltpFR2,0.5395115627638876
LTP298,scalp,ltpFR2,0.540344211571398
LTP299,scalp,ltpFR2,0.5264148589734656
LTP300,scalp,ltpFR2,0.5340997375208785
LTP301,scalp,ltpFR2,0.5572270463710975
LTP302,scalp,ltpFR2,0.5392817297283432
LTP303,scalp,ltpFR2,0.5199795037521802
LTP304,scalp,ltpFR2,0.5260356143946238
LTP305,scalp,ltpFR2,0.5183540443245039
LTP306,scalp,ltpFR2,0.5237940606997255
LTP307,scalp,ltpFR2,0.5365263695419535
LTP308,scalp,ltpFR2,0.5404423844557893
LTP309,scalp,ltpFR2,0.5025256066062874
LTP310,scalp,ltpFR2,0.5241527525479487
LTP311,scalp,ltpFR2,0.5307955815623754
LTP312,scalp,ltpFR2,0.5097908977451763
LTP313,scalp,ltpFR2,0.5260677340925131
LTP314,scalp,ltpFR2,0.5331060122453021
LTP315,scalp,ltpFR2,0.5505635802973715
LTP316,scalp,ltpFR2,0.5380076464184284
LTP317,scalp,ltpFR2,0.5301528636625275
LTP318,scalp,ltpFR2,0.5388017475468493
LTP319,scalp,ltpFR2,0.5336250773751591
