subject,exp_type,experiment,r_pcs
R1042M,intracranial,FR1,0.4541019639311316
R1044J,intracranial,FR1,-0.15311693489171976
R1045E,intracranial,FR1,0.2698820292597308
R1048E,intracranial,FR1,0.6176621529494882
R1049J,intracranial,FR1,-1.0
R1050M,intracranial,FR1,0.6020798222692528
R1051J,intracranial,FR1,0.6424259715192419
R1052E,intracranial,FR1,0.7428968815196639
R1053M,intracranial,FR1,-0.28527445295493403
R1054J,intracranial,FR1,0.25215391481635063
R1056M,intracranial,FR1,0.46775337926597227
R1057E,intracranial,FR1,0.9657897069923367
R1059J,intracranial,FR1,-0.010083296675660713
R1060M,intracranial,FR1,0.5954782819230149
R1061T,intracranial,FR1,0.5663974281341584
R1062J,intracranial,FR1,0.7486327837370582
R1063C,intracranial,FR1,0.39669296001686805
R1065J,intracranial,FR1,0.5073350736352439
R1066P,intracranial,FR1,0.6745033628197845
R1067P,intracranial,FR1,0.5186732755936122
R1068J,intracranial,FR1,0.5131473370108892
R1069M,intracranial,FR1,0.6989172598705314
R1074M,intracranial,FR1,0.0578074665610277
R1075J,intracranial,FR1,0.6920920705843365
R1076D,intracranial,FR1,0.7710892728440439
R1077T,intracranial,FR1,0.6545456598616842
R1080E,intracranial,FR1,0.5174430051947327
R1081J,intracranial,FR1,0.29194223747525205
R1083J,intracranial,FR1,0.6620160721951869
R1084T,intracranial,FR1,0.7856986746202977
R1086M,intracranial,FR1,0.80276392468739
R1089P,intracranial,FR1,0.6651046352391736
R1092J,intracranial,FR1,0.7532987553619288
R1093J,intracranial,FR1,0.6565053788247338
R1096E,intracranial,FR1,-0.23471915761413356
R1098D,intracranial,FR1,0.4784107563752363
R1100D,intracranial,FR1,1.0
R1101T,intracranial,FR1,0.5606454601781187
R1102P,intracranial,FR1,0.6465937373011449
R1104D,intracranial,FR1,0.4503675516524717
R1105E,intracranial,FR1,-0.13794900290739617
R1106M,intracranial,FR1,0.2552976333513007
R1108J,intracranial,FR1,0.6603254535148203
R1111M,intracranial,FR1,0.6127740530241639
R1112M,intracranial,FR1,0.4816847130890165
R1113T,intracranial,FR1,0.5428637460894653
R1114C,intracranial,FR1,-0.01535142582010177
